# JL 03/27/2017,,,,,,,,,,,,,,,
ID,Type,Line,Intensity,Mosaic,Segments,,,,,,,,,,
412 line 1 w16,GP41,A,992.688091,1,4,,,,,,,,,,
412 line 1 w17,GP41,A,1797.353589,0,8,,,,,,,,,,
412 line 1 w18,GP41,A,1244.36928,1,7,,,,,,,,,,
412 line 1 w19,GP41,A,972.062004,1,7,,,,,,,,,,
412 line 1 w20,GP41,A,3681.443537,1,6,,,,,,,,,,
412 line 1 w21,GP41,A,1982.24374,1,7,,,,,,,,,,
412 line 1 w22,GP41,A,6796.404459,1,5,,,,,,,,,,
412 line 3 w1,GP41,B,5380.755344,1,6,,,,,,,,,,
412 line 3 w2,GP41,B,10490.84985,1,7,,,,,,,,,,
412 line 3 w3,GP41,B,10606.22232,1,6,,,,,,,,,,
412 line 3 w4,GP41,B,6013.4873,1,5,,,,,,,,,,
412 line 3 w5,GP41,B,6809.292496,1,5,,,,,,,,,,
412 line 3 w6,GP41,B,4893.815511,1,6,,,,,,,,,,
412 line 3 w7,GP41,B,5318.459534,1,4,,,,,,,,,,
412 line 3 w8,GP41,B,8654.564806,1,6,,,,,,,,,,
412 line 3 w9,GP41,B,8787.848368,1,7,,,,,,,,,,
412 line 3 w10,GP41,B,7747.883626,0,8,,,,,,,,,,
412 line 3 w11,GP41,B,10008.41658,1,6,,,,,,,,,,
412 line 3 w12,GP41,B,5023.082435,1,7,,,,,,,,,,
412 line 3 w13,GP41,B,14402.92044,0,8,,,,,,,,,,
412 line 3 w14,GP41,B,7986.265278,0,8,,,,,,,,,,
412 line 3 w15,GP41,B,16487.61765,0,8,,,,,,,,,,
412 line 3 w16,GP41,B,12682.63844,1,7,,,,,,,,,,
412 line 3 w17,GP41,B,2377.714821,1,5,,,,,,,,,,
412 line 3 w18,GP41,B,10615.41876,1,7,,,,,,,,,,
412 line 3 w19,GP41,B,10564.38642,0,8,,,,,,,,,,
412 line 3 w20,GP41,B,11505.98718,1,7,,,,,,,,,,
412 line 3 w21,GP41,B,9121.813795,1,6,,,,,,,,,,
412 line 3 w22,GP41,B,9124.221942,1,6,,,,,,,,,,
412 line 3 w23,GP41,B,12676.3171,0,8,,,,,,,,,,
syIs300 w1,Effector,C,13.31911057,2,0,,,,,,,,,,
syIs300 w2,Effector,C,14.44793706,2,0,,,,,,,,,,
syIs300 w3,Effector,C,11.60165987,2,0,,,,,,,,,,
syIs300 w4,Effector,C,13.99196204,2,0,,,,,,,,,,
syIs300 w5,Effector,C,14.05681145,2,0,,,,,,,,,,
syIs300 w6,Effector,C,13.63693029,2,0,,,,,,,,,,
syIs300 w7,Effector,C,13.02061824,2,0,,,,,,,,,,
syIs300 w8,Effector,C,25.28135876,2,0,,,,,,,,,,
